,105,17,24,1_Sonnet I.txt
,114,15,26,2_Sonnet II.txt
,115,15,19,3_Sonnet III.txt
,101,14,23,4_Sonnet IV.txt
,104,14,21,5_Sonnet V.txt
,108,14,26,6_Sonnet VI.txt
,100,13,25,7_Sonnet VII.txt
,110,14,25,8_Sonnet VIII.txt
,117,14,18,9_Sonnet IX.txt
,112,15,25,10_Sonnet X.txt
,116,15,21,11_Sonnet XI.txt
,118,19,16,12_Sonnet XII.txt
,108,15,20,13_Sonnet XIII.txt
,112,21,21,14_Sonnet XIV.txt
,111,20,15,15_Sonnet XV.txt
,108,16,16,16_Sonnet XVI.txt
,124,16,22,17_Sonnet XVII.txt
,114,17,19,18_Sonnet XVIII.txt
,115,18,26,19_Sonnet XIX.txt
,113,16,32,20_Sonnet XX.txt
,117,16,23,21_Sonnet XXI.txt
,122,20,20,22_Sonnet XXII.txt
,114,15,21,23_Sonnet XXIII.txt
,120,14,22,24_Sonnet XXIV.txt
,108,18,18,25_Sonnet XXV.txt
,118,18,17,26_Sonnet XXVI.txt
,111,16,22,27_Sonnet XXVII.txt
,116,17,25,28_Sonnet XXVIII.txt
,114,17,20,29_Sonnet XXIX.txt
,116,19,21,30_Sonnet XXX.txt
,115,18,16,31_Sonnet XXXI.txt
,114,17,23,32_Sonnet XXXII.txt
,109,15,16,33_Sonnet XXXIII.txt
,120,15,19,34_Sonnet XXXIV.txt
,106,17,18,35_Sonnet XXXV.txt
,113,15,17,36_Sonnet XXXVI.txt
,116,19,23,37_Sonnet XXXVII.txt
,112,17,18,38_Sonnet XXXVIII.txt
,120,17,15,39_Sonnet XXXIX.txt
,120,14,25,40_Sonnet XL.txt
,110,15,17,41_Sonnet XLI.txt
,130,20,25,42_Sonnet XLII.txt
,122,18,17,43_Sonnet XLIII.txt
,117,16,14,44_Sonnet XLIV.txt
,105,16,24,45_Sonnet XLV.txt
,115,14,20,46_Sonnet XLVI.txt
,122,15,19,47_Sonnet XLVII.txt
,118,19,22,48_Sonnet XLVIII.txt
,113,17,17,49_Sonnet XLIX.txt
,118,16,18,50_Sonnet L.txt
,117,20,26,51_Sonnet LI.txt
,110,15,23,52_Sonnet LII.txt
,107,17,22,53_Sonnet LIII.txt
,111,15,19,54_Sonnet LIV.txt
,106,15,18,55_Sonnet LV.txt
,112,14,27,56_Sonnet LVI.txt
,118,18,20,57_Sonnet LVII.txt
,112,14,22,58_Sonnet LVIII.txt
,109,16,18,59_Sonnet LIX.txt
,108,15,20,60_Sonnet LX.txt
,121,15,18,61_Sonnet LXI.txt
,107,17,22,62_Sonnet LXII.txt
,110,17,26,63_Sonnet LXIII.txt
,112,20,13,64_Sonnet LXIV.txt
,112,17,27,65_Sonnet LXV.txt
,89,17,23,66_Sonnet LXVI.txt
,106,15,19,67_Sonnet LXVII.txt
,108,16,18,68_Sonnet LXVIII.txt
,123,14,22,69_Sonnet LXIX.txt
,110,14,22,70_Sonnet LXX.txt
,123,21,13,71_Sonnet LXXI.txt
,119,17,17,72_Sonnet LXXII.txt
,121,14,20,73_Sonnet LXXIII.txt
,113,14,19,74_Sonnet LXXIV.txt
,117,16,16,75_Sonnet LXXV.txt
,114,17,18,76_Sonnet LXXVI.txt
,108,14,18,77_Sonnet LXXVII.txt
,110,17,9,78_Sonnet LXXVIII.txt
,116,16,13,79_Sonnet LXXIX.txt
,116,18,20,80_Sonnet LXXX.txt
,116,17,22,81_Sonnet LXXXI.txt
,105,15,12,82_Sonnet LXXXII.txt
,116,17,15,83_Sonnet LXXXIII.txt
,115,14,15,84_Sonnet LXXXIV.txt
,110,19,27,85_Sonnet LXXXV.txt
,110,15,19,86_Sonnet LXXXVI.txt
,117,16,23,87_Sonnet LXXXVII.txt
,112,20,20,88_Sonnet LXXXVIII.txt
,111,20,22,89_Sonnet LXXXIX.txt
,121,15,25,90_Sonnet XC.txt
,114,16,24,91_Sonnet XCI.txt
,120,17,18,92_Sonnet XCII.txt
,114,16,22,93_Sonnet XCIII.txt
,106,14,20,94_Sonnet XCIV.txt
,112,14,19,95_Sonnet XCV.txt
,120,15,17,96_Sonnet XCVI.txt
,108,16,27,97_Sonnet XCVII.txt
,118,19,22,98_Sonnet XCVIII.txt
,125,20,24,99_Sonnet XCIX.txt
,111,20,23,100_Sonnet C.txt
,114,18,27,101_Sonnet CI.txt
,117,18,14,102_Sonnet CII.txt
,117,16,18,103_Sonnet CIII.txt
,117,20,26,104_Sonnet CIV.txt
,105,14,34,105_Sonnet CV.txt
,110,14,22,106_Sonnet CVI.txt
,113,15,17,107_Sonnet CVII.txt
,115,16,23,108_Sonnet CVIII.txt
,115,19,22,109_Sonnet CIX.txt
,118,18,21,110_Sonnet CX.txt
,110,19,19,111_Sonnet CXI.txt
,116,19,19,112_Sonnet CXII.txt
,118,15,20,113_Sonnet CXIII.txt
,113,15,25,114_Sonnet CXIV.txt
,115,21,25,115_Sonnet CXV.txt
,109,16,20,116_Sonnet CXVI.txt
,110,19,11,117_Sonnet CXVII.txt
,112,16,21,118_Sonnet CXVIII.txt
,113,20,17,119_Sonnet CXIX.txt
,117,19,22,120_Sonnet CXX.txt
,115,17,19,121_Sonnet CXXI.txt
,105,16,16,122_Sonnet CXXII.txt
,116,18,16,123_Sonnet CXXIII.txt
,109,18,25,124_Sonnet CXXIV.txt
,106,16,25,125_Sonnet CXXV.txt
,96,15,27,126_Sonnet CXXVI.txt
,111,14,27,127_Sonnet CXXVII.txt
,111,15,21,128_Sonnet CXXVIII.txt
,110,14,31,129_Sonnet CXXIX.txt
,123,18,22,130_Sonnet CXXX.txt
,119,18,22,131_Sonnet CXXXI.txt
,114,16,14,132_Sonnet CXXXII.txt
,122,16,27,133_Sonnet CXXXIII.txt
,120,20,24,134_Sonnet CXXXIV.txt
,116,22,35,135_Sonnet CXXXV.txt
,124,19,31,136_Sonnet CXXXVI.txt
,124,15,22,137_Sonnet CXXXVII.txt
,118,19,20,138_Sonnet CXXXVIII.txt
,120,15,21,139_Sonnet CXXXIX.txt
,118,18,24,140_Sonnet CXL.txt
,118,16,19,141_Sonnet CXLI.txt
,117,15,22,142_Sonnet CXLII.txt
,119,17,22,143_Sonnet CXLIII.txt
,113,17,20,144_Sonnet CXLIV.txt
,97,16,23,145_Sonnet CXLV.txt
,113,15,27,146_Sonnet CXLVI.txt
,107,17,21,147_Sonnet CXLVII.txt
,123,20,29,148_Sonnet CXLVIII.txt
,117,25,25,149_Sonnet CXLIX.txt
,118,17,14,150_Sonnet CL.txt
,119,18,22,151_Sonnet CLI.txt
,124,21,23,152_Sonnet CLII.txt
,108,18,28,153_Sonnet CLIII.txt
,107,18,21,154_Sonnet CLIV.txt
